number,caller_id,opened_by,contact_type,location,category,subcategory,u_symptom,impact,urgency,priority,assignment_group,assigned_to,u_priority_confirmation,duracion_horas
INC0000278,Caller 4414,Opened by  433,Phone,Location 51,Category 45,Subcategory 29,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 134,False,0.9666666666666667
INC0000062,Caller 3765,Opened by  180,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,1 - High,2 - Medium,2 - High,Group 23,No asignado,False,8.883333333333333
INC0000063,Caller 2146,Opened by  180,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,8.883333333333333
INC0000083,Caller 4866,Opened by  131,Phone,Location 93,Category 24,Subcategory 164,Symptom 583,3 - Low,3 - Low,4 - Low,Group 23,No asignado,False,7.433333333333334
INC0000228,Caller 197,Opened by  301,Phone,Location 70,Category 26,Subcategory 175,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,False,3.95
INC0000339,Caller 3056,Opened by  386,Phone,Location 51,Category 26,Subcategory 164,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 23,No asignado,False,1.0833333333333333
INC0000135,Caller 5331,Opened by  40,Phone,Location 204,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 216,False,6.533333333333333
INC0000374,Caller 5104,Opened by  386,Phone,Location 51,Category 32,Subcategory 9,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 186,False,0.38333333333333336
INC0000166,Caller 4098,Opened by  501,Phone,Location 108,Category 9,Subcategory 164,Symptom 117,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,False,6.0
INC0000076,Caller 2949,Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 23,No asignado,False,8.033333333333333
INC0000121,Caller 1932,Opened by  40,Phone,Location 93,Category 53,Subcategory 271,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 23,No asignado,False,7.1
INC0000377,Caller 379,Opened by  221,Phone,Location 93,Category 26,Subcategory 175,Symptom 208,3 - Low,2 - Medium,4 - Low,Group 23,No asignado,False,0.3333333333333333
INC0000204,Caller 1878,Opened by  501,Phone,Location 93,Category 53,Subcategory 168,Symptom 470,3 - Low,3 - Low,4 - Low,Group 23,No asignado,False,5.5
INC0000261,Caller 1393,Opened by  128,Phone,Location 197,Category 42,Subcategory 31,Symptom 273,1 - High,1 - High,1 - Critical,Group 3,Resolver 71,True,4.883333333333334
INC0000172,Caller 3117,Opened by  180,Phone,Location 224,Category 23,Subcategory 75,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 188,False,7.8
INC0000207,Caller 3772,Opened by  131,Phone,Location 204,Category 9,Subcategory 164,Symptom 232,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,8.933333333333334
INC0000379,Caller 1989,Opened by  191,Phone,Location 197,Category 8,Subcategory 156,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 56,Resolver 166,False,4.0
INC0000434,Caller 2201,Opened by  305,Phone,Location 161,Category 9,Subcategory 164,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 24,No asignado,False,0.9166666666666666
INC0000257,Caller 5072,Opened by  501,Phone,Location 115,Category 37,Subcategory 144,Symptom 580,2 - Medium,2 - Medium,3 - Moderate,Group 12,No asignado,False,9.666666666666666
INC0000455,Caller 4924,Opened by  305,Phone,Location 143,Category 40,Subcategory 215,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.3333333333333333
INC0000057,Caller 4416,Opened by  8,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,20.75
INC0000486,Caller 4508,Opened by  390,Phone,Location 125,Category 40,Subcategory 215,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 208,False,0.3333333333333333
INC0000491,Caller 5613,Opened by  443,Phone,Location 204,Category 45,Subcategory 29,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.7666666666666667
INC0000370,Caller 4288,Opened by  386,Phone,Location 51,Category 37,Subcategory 135,Symptom 87,1 - High,1 - High,1 - Critical,Group 30,Resolver 201,True,16.633333333333333
INC0000125,Caller 154,Opened by  131,Phone,Location 108,Category 9,Subcategory 164,Symptom 607,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 170,False,23.016666666666666
INC0000115,Caller 5494,Opened by  131,Phone,Location 161,Category 9,Subcategory 164,Symptom 607,2 - Medium,2 - Medium,3 - Moderate,Group 62,Resolver 89,False,23.5
INC0000530,Caller 4729,Opened by  180,Phone,Location 249,Category 45,Subcategory 223,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.08333333333333333
INC0000119,Caller 3842,Opened by  180,Phone,Location 161,Category 9,Subcategory 164,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,False,23.683333333333334
INC0000099,Caller 5410,Opened by  180,Phone,Location 51,Category 24,Subcategory 164,Symptom 529,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,False,24.033333333333335
INC0000168,Caller 4568,Opened by  131,Phone,Location 161,Category 9,Subcategory 164,Symptom 7,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,False,22.633333333333333
INC0000468,Caller 93,Opened by  443,Phone,Location 161,Category 53,Subcategory 130,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,False,7.583333333333333
INC0000499,Caller 1065,Opened by  24,Phone,Location 241,Category 53,Subcategory 83,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,False,1.35
INC0000545,Caller 5588,Opened by  180,Phone,Location 204,Category 45,Subcategory 223,Symptom 6,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.016666666666666666
INC0000283,Caller 99,Opened by  386,Phone,Location 51,Category 42,Subcategory 31,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 39,No asignado,False,19.533333333333335
INC0000369,Caller 621,Opened by  55,Phone,Location 141,Category 43,Subcategory 107,Symptom 218,2 - Medium,2 - Medium,3 - Moderate,Group 39,No asignado,False,17.75
INC0000537,Caller 4591,Opened by  40,Phone,Location 108,Category 45,Subcategory 223,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.5333333333333333
INC0000393,Caller 4188,Opened by  386,Phone,Location 93,Category 45,Subcategory 229,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 6,Resolver 176,False,16.75
INC0000398,Caller 5355,Opened by  221,Phone,Location 51,Category 45,Subcategory 200,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 39,No asignado,False,16.416666666666668
INC0000480,Caller 288,Opened by  443,Phone,Location 143,Category 63,Subcategory 164,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 65,No asignado,False,6.716666666666667
INC0000540,Caller 4414,Opened by  433,Phone,Location 51,Category 45,Subcategory 29,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 134,False,0.5666666666666667
INC0000047,Caller 2403,Opened by  397,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 89,False,29.2
INC0000139,Caller 3284,Opened by  131,Phone,Location 204,Category 53,Subcategory 303,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 54,No asignado,False,24.1
INC0000516,Caller 4414,Opened by  433,Phone,Location 51,Category 45,Subcategory 29,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 214,False,1.85
INC0000071,Caller 271,Opened by  180,Phone,Location 161,Category 9,Subcategory 164,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,False,26.433333333333334
INC0000588,Caller 3348,Opened by  180,Phone,Location 161,Category 40,Subcategory 44,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.48333333333333334
INC0000301,Caller 378,Opened by  221,Phone,Location 93,Category 42,Subcategory 106,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 67,No asignado,False,21.216666666666665
INC0000615,Caller 3776,Opened by  301,Phone,Location 108,Category 45,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 214,False,0.9333333333333333
INC0000104,Caller 5180,Opened by  180,Phone,Location 51,Category 53,Subcategory 168,Symptom 116,1 - High,2 - Medium,2 - High,Group 30,Resolver 201,True,26.783333333333335
INC0000116,Caller 1488,Opened by  180,Phone,Location 108,Category 37,Subcategory 135,Symptom 529,2 - Medium,2 - Medium,3 - Moderate,Group 47,No asignado,False,26.7
INC0000664,Caller 1776,Opened by  168,Phone,Location 161,Category 34,Subcategory 151,Symptom 208,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,False,0.16666666666666666
INC0000571,Caller 684,Opened by  62,Phone,Location 108,Category 53,Subcategory 303,Symptom 580,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 111,False,2.65
INC0000709,Caller 2610,Opened by  24,Phone,Location 249,Category 32,Subcategory 9,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.08333333333333333
INC0000706,Caller 3165,Opened by  131,Phone,Location 161,Category 45,Subcategory 200,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.21666666666666667
INC0000619,Caller 5610,Opened by  301,Phone,Location 117,Category 37,Subcategory 135,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 120,False,1.9666666666666666
INC0000722,Caller 2426,Opened by  228,Phone,Location 117,Category 15,Subcategory 135,Symptom 13,2 - Medium,2 - Medium,3 - Moderate,Group 49,Resolver 120,False,0.36666666666666664
INC0000310,Caller 369,Opened by  433,Phone,Location 204,Category 45,Subcategory 220,No reportado,3 - Low,3 - Low,4 - Low,Group 66,Resolver 175,False,23.233333333333334
INC0000742,Caller 2508,Opened by  386,Phone,Location 161,Category 32,Subcategory 9,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 186,False,0.23333333333333334
INC0000237,Caller 2047,Opened by  62,Phone,Location 108,Category 45,Subcategory 200,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,False,25.616666666666667
INC0000624,Caller 4236,Opened by  62,Phone,Location 46,Category 42,Subcategory 224,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,False,2.8333333333333335
INC0000534,Caller 649,Opened by  180,Phone,Location 108,Category 9,Subcategory 164,Symptom 609,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 34,False,5.316666666666666
INC0000618,Caller 4414,Opened by  433,Phone,Location 51,Category 45,Subcategory 208,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 39,No asignado,False,3.3333333333333335
INC0000712,Caller 4968,Opened by  240,Phone,Location 161,Category 32,Subcategory 9,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 64,No asignado,False,1.4666666666666666
INC0000666,Caller 863,Opened by  62,Phone,Location 204,Category 42,Subcategory 224,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,False,2.433333333333333
INC0000746,Caller 5616,Opened by  40,Phone,Location 161,Category 34,Subcategory 154,Symptom 102,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,False,0.4166666666666667
INC0000645,Caller 4414,Opened by  433,Phone,Location 51,Category 45,Subcategory 200,No reportado,2 - Medium,1 - High,2 - High,Group 39,No asignado,False,2.966666666666667
INC0000650,Caller 4414,Opened by  433,Phone,Location 51,Category 45,Subcategory 200,No reportado,2 - Medium,1 - High,2 - High,Group 39,No asignado,False,2.9833333333333334
INC0000653,Caller 4414,Opened by  433,Phone,Location 51,Category 43,Subcategory 105,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 39,No asignado,False,3.05
INC0000738,Caller 4414,Opened by  433,Phone,Location 51,Category 45,Subcategory 200,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 39,No asignado,False,1.2
INC0000757,Caller 4350,Opened by  221,Phone,Location 93,Category 42,Subcategory 31,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 39,No asignado,False,0.5666666666666667
INC0000708,Caller 1799,Opened by  386,Phone,Location 161,Category 37,Subcategory 135,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 214,False,2.35
INC0000743,Caller 5219,Opened by  40,Phone,Location 204,Category 42,Subcategory 106,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 39,No asignado,False,1.4
INC0000777,Caller 1441,Opened by  221,Phone,Location 72,Category 24,Subcategory 228,No reportado,1 - High,2 - Medium,2 - High,Group 25,No asignado,False,0.2833333333333333
INC0000745,Caller 2306,Opened by  155,Phone,Location 71,Category 32,Subcategory 9,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 23,No asignado,False,1.3833333333333333
INC0000557,Caller 3626,Opened by  180,Phone,Location 93,Category 53,Subcategory 168,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 23,No asignado,False,5.816666666666666
INC0000763,Caller 5362,Opened by  55,Phone,Location 108,Category 20,Subcategory 125,Symptom 6,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,False,1.0
INC0000073,Caller 2519,Opened by  40,Phone,Location 42,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 54,No asignado,False,31.25
INC0000086,Caller 2403,Opened by  24,Phone,Location 98,Category 24,Subcategory 164,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,31.033333333333335
INC0000699,Caller 4539,Opened by  55,Phone,Location 36,Category 44,Subcategory 54,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 67,No asignado,False,3.2666666666666666
INC0000759,Caller 5620,Opened by  55,Phone,Location 108,Category 20,Subcategory 103,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,False,1.3666666666666667
INC0000760,Caller 509,Opened by  386,Phone,Location 204,Category 37,Subcategory 135,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 46,Resolver 83,False,1.45
INC0000675,Caller 3394,Opened by  40,Phone,Location 51,Category 19,Subcategory 289,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,False,3.85
INC0000345,Caller 3864,Opened by  301,Phone,Location 93,Category 24,Subcategory 164,Symptom 6,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,24.716666666666665
INC0000688,Caller 3394,Opened by  40,Phone,Location 51,Category 19,Subcategory 289,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,3.566666666666667
INC0000775,Caller 4854,Opened by  301,Phone,Location 204,Category 45,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 10,Resolver 139,False,1.1166666666666667
INC0000694,Caller 3394,Opened by  40,Phone,Location 51,Category 19,Subcategory 289,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,3.5166666666666666
INC0000692,Caller 3394,Opened by  40,Phone,Location 51,Category 19,Subcategory 289,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,3.55
INC0000193,Caller 1452,Opened by  62,Phone,Location 204,Category 37,Subcategory 135,Symptom 118,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,False,29.066666666666666
INC0000698,Caller 3394,Opened by  40,Phone,Location 51,Category 19,Subcategory 289,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,False,3.466666666666667
INC0000697,Caller 3394,Opened by  40,Phone,Location 51,Category 19,Subcategory 289,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,False,3.4833333333333334
INC0000695,Caller 3394,Opened by  40,Phone,Location 51,Category 19,Subcategory 289,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,False,3.5166666666666666
INC0000700,Caller 3394,Opened by  40,Phone,Location 51,Category 19,Subcategory 289,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,3.45
INC0000751,Caller 3747,Opened by  386,Phone,Location 204,Category 42,Subcategory 31,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 127,False,1.9
INC0000702,Caller 3394,Opened by  40,Phone,Location 51,Category 19,Subcategory 289,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,3.4166666666666665
INC0000703,Caller 3394,Opened by  40,Phone,Location 51,Category 19,Subcategory 289,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,False,3.4166666666666665
INC0000749,Caller 967,Opened by  386,Phone,Location 33,Category 42,Subcategory 31,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 127,False,2.0833333333333335
INC0000543,Caller 3778,Opened by  24,Phone,Location 161,Category 34,Subcategory 112,Symptom 121,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 253,False,7.1
INC0000122,Caller 3113,Opened by  24,Phone,Location 44,Category 45,Subcategory 107,Symptom 226,2 - Medium,2 - Medium,3 - Moderate,Group 22,No asignado,False,31.383333333333333
INC0000401,Caller 611,Opened by  55,Phone,Location 93,Category 24,Subcategory 164,Symptom 571,2 - Medium,2 - Medium,3 - Moderate,Group 23,No asignado,False,23.3
INC0000841,Caller 2299,Opened by  239,Phone,Location 204,Category 37,Subcategory 123,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.5166666666666667
INC0000780,Caller 540,Opened by  386,Phone,Location 108,Category 53,Subcategory 117,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 34,False,2.3666666666666667
INC0000661,Caller 556,Opened by  120,Phone,Location 204,Category 45,Subcategory 229,Symptom 208,1 - High,1 - High,1 - Critical,Group 15,Resolver 64,False,5.883333333333334
INC0000890,Caller 5471,Opened by  221,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 126,False,0.26666666666666666
INC0000527,Caller 3166,Opened by  40,Phone,Location 161,Category 53,Subcategory 114,Symptom 583,2 - Medium,2 - Medium,3 - Moderate,Group 66,No asignado,False,10.9
INC0000921,Caller 3512,Opened by  47,Phone,Location 204,Category 55,Subcategory 185,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 56,No asignado,False,0.4166666666666667
INC0000440,Caller 2201,Opened by  305,Phone,Location 161,Category 53,Subcategory 80,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 56,No asignado,False,23.166666666666668
INC0000583,Caller 19,Opened by  24,Phone,Location 161,Category 32,Subcategory 9,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,11.766666666666667
INC0000927,Caller 2988,Opened by  47,Phone,Location 161,Category 45,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 55,No asignado,False,0.8166666666666667
INC0000930,Caller 4217,Opened by  305,Phone,Location 179,Category 32,Subcategory 9,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.8833333333333333
INC0000937,Caller 2201,Opened by  305,Phone,Location 161,Category 32,Subcategory 9,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.6833333333333333
INC0000947,Caller 2899,Opened by  397,Phone,Location 108,Category 45,Subcategory 223,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.18333333333333332
INC0000285,Caller 4858,Opened by  55,Phone,Location 136,Category 45,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,34.983333333333334
INC0000279,Caller 5620,Opened by  55,Phone,Location 108,Category 20,Subcategory 103,Symptom 116,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,35.21666666666667
INC0000535,Caller 217,Opened by  180,Phone,Location 204,Category 23,Subcategory 75,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,16.466666666666665
INC0000846,Caller 1057,Opened by  55,Phone,Location 161,Category 9,Subcategory 164,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,9.65
INC0000952,Caller 4549,Opened by  443,Phone,Location 143,Category 26,Subcategory 175,Symptom 607,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,3.15
INC0000967,Caller 1069,Opened by  180,Phone,Location 161,Category 23,Subcategory 75,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.1
INC0000526,Caller 4414,Opened by  433,Phone,Location 51,Category 32,Subcategory 9,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 72,Resolver 165,False,23.133333333333333
INC0000521,Caller 4414,Opened by  433,Phone,Location 51,Category 22,Subcategory 277,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 72,Resolver 165,False,23.366666666666667
INC0000582,Caller 3304,Opened by  180,Phone,Location 108,Category 23,Subcategory 75,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 72,No asignado,False,22.066666666666666
INC0000997,Caller 324,Opened by  180,Phone,Location 108,Category 43,Subcategory 105,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.18333333333333332
INC0000596,Caller 5626,Opened by  536,Phone,Location 165,Category 26,Subcategory 175,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 24,No asignado,False,22.4
INC0001008,Caller 2174,Opened by  180,Phone,Location 179,Category 32,Subcategory 9,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.08333333333333333
INC0000916,Caller 2346,Opened by  305,Phone,Location 161,Category 53,Subcategory 117,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,False,12.883333333333333
INC0000477,Caller 2327,Opened by  443,Phone,Location 161,Category 37,Subcategory 135,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 49,Resolver 249,False,30.516666666666666
INC0001020,Caller 1187,Opened by  62,Phone,Location 51,Category 44,Subcategory 54,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,False,0.15
INC0000500,Caller 4180,Opened by  180,Phone,Location 143,Category 23,Subcategory 75,Symptom 4,1 - High,2 - Medium,2 - High,Group 28,No asignado,False,25.2
INC0000253,Caller 1001,Opened by  55,Phone,Location 143,Category 26,Subcategory 175,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 28,No asignado,False,44.416666666666664
INC0001037,Caller 671,Opened by  24,Phone,Location 108,Category 51,Subcategory 6,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.06666666666666667
INC0000179,Caller 364,Opened by  40,Phone,Location 143,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 236,False,46.56666666666667
INC0000262,Caller 4180,Opened by  40,Phone,Location 143,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,False,44.36666666666667
INC0001038,Caller 5124,Opened by  62,Phone,Location 161,Category 42,Subcategory 106,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,False,0.2
INC0000991,Caller 1522,Opened by  180,Phone,Location 128,Category 24,Subcategory 164,Symptom 117,2 - Medium,1 - High,2 - High,Group 27,Resolver 170,False,1.2666666666666666
INC0001036,Caller 527,Opened by  433,Phone,Location 204,Category 45,Subcategory 220,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 175,False,0.4166666666666667
INC0001054,Caller 5104,Opened by  131,Phone,Location 51,Category 45,Subcategory 223,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.35
INC0000877,Caller 1841,Opened by  386,Phone,Location 33,Category 44,Subcategory 54,Symptom 589,1 - High,1 - High,1 - Critical,Group 5,Resolver 176,False,16.1
INC0000292,Caller 1163,Opened by  501,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,3 - Low,3 - Low,4 - Low,Group 28,Resolver 236,False,43.88333333333333
INC0000617,Caller 2146,Opened by  131,Phone,Location 93,Category 53,Subcategory 114,Symptom 605,2 - Medium,2 - Medium,3 - Moderate,Group 23,No asignado,False,23.05
INC0000159,Caller 3923,Opened by  180,Phone,Location 143,Category 24,Subcategory 164,Symptom 571,2 - Medium,2 - Medium,3 - Moderate,Group 28,No asignado,False,47.86666666666667
INC0000998,Caller 1135,Opened by  501,Phone,Location 93,Category 37,Subcategory 135,Symptom 580,2 - Medium,2 - Medium,3 - Moderate,Group 29,No asignado,False,1.7666666666666666
